Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,CRSElapsedTime,Origin,Dest,Distance,ArrDelay15
6,2,1,1950,2115,US,85,CLT,BWI,361,False
8,17,7,1445,1620,MQ,95,PIT,JFK,340,True
2,20,3,1010,1115,WN,65,LAS,SAN,258,True
4,15,2,1915,2050,WN,95,DAL,STL,546,False
10,31,5,750,1000,OH,130,EWR,CVG,569,False
12,11,4,1746,1833,UA,107,PIT,ORD,412,True
2,23,6,1055,1200,WN,65,GEG,PDX,279,False
7,7,1,1244,1503,YV,199,IAD,AUS,1297,True
8,16,6,1452,1625,OO,93,SFO,MFR,329,False
10,25,6,1225,1454,AS,149,SEA,LAS,866,False
6,29,7,2030,2221,FL,111,ATL,DCA,547,True
12,21,7,545,645,MQ,60,SHV,DFW,190,False
10,24,5,1332,1423,F9,111,DEN,LAS,629,False
2,16,6,645,805,XE,80,IAD,CLE,288,False
3,31,1,1740,1903,UA,143,DEN,LAX,862,True
7,31,4,1543,2015,XE,152,TUS,IAH,936,True
7,28,1,1845,2340,OO,175,LAX,OKC,1187,False
5,21,3,2155,20,AS,205,SEA,FAI,1533,True
6,21,6,1510,1553,HA,43,HNL,KOA,163,False
9,26,5,1645,1753,OH,68,PVD,JFK,144,True
3,7,5,1210,1323,9E,73,GRB,MSP,252,False
3,13,4,1615,1725,9E,70,MSP,MSN,228,True
6,22,7,2248,2359,US,71,PHL,PIT,267,False
2,6,3,1342,2049,DL,247,SAN,ATL,1891,False
8,19,2,845,945,EV,60,MCN,ATL,79,False
12,16,2,1252,1513,UA,141,DFW,ORD,802,True
7,25,5,805,855,MQ,50,ORD,MSN,109,False
8,24,7,1800,2020,MQ,140,ORD,DAL,798,True
7,11,5,1825,2005,OO,100,LNK,ORD,466,False
7,11,5,1925,2100,WN,95,STL,DAL,546,True
8,17,7,1200,1446,US,166,PHL,FLL,992,False
9,10,3,1955,2310,MQ,135,DFW,CVG,812,False
8,27,3,1925,2005,WN,100,DTW,STL,440,False
12,14,7,1745,1850,AA,65,AUS,DFW,190,False
12,3,3,1958,2232,OO,94,SFO,BOI,522,False
6,10,2,1040,1310,AS,150,PDX,SAN,933,False
10,31,5,600,742,OO,102,MEM,ORD,491,False
4,12,6,544,712,OO,88,PSP,SFO,421,False
10,1,3,1615,1825,WN,130,GEG,OAK,723,False
3,12,3,2147,2357,YV,70,PHX,ELP,347,False
1,13,7,810,1100,AA,170,MIA,JFK,1090,True
9,13,6,1535,2337,CO,302,SAN,EWR,2425,False
1,29,2,1245,1545,MQ,120,ORD,BDL,783,False
3,10,1,1702,1921,DL,79,GPT,ATL,352,False
9,29,1,855,1010,WN,75,SJC,ONT,333,False
10,17,5,1355,1650,AA,175,EWR,MIA,1086,True
9,12,5,1651,1917,B6,86,LAS,SLC,368,False
4,22,2,2035,2222,US,107,PHL,CLT,448,True
1,9,3,1130,1244,DL,74,DCA,LGA,214,True
1,13,7,540,650,MQ,70,LIT,DFW,304,False
11,25,2,1338,1624,NW,166,DTW,RSW,1085,False
2,18,1,1540,1750,WN,70,SAN,PHX,304,False
2,29,5,1701,2000,AS,179,SAN,SEA,1050,False
1,3,4,1855,2105,AA,190,MIA,DFW,1121,True
4,11,5,1415,1535,DL,80,BOS,JFK,187,True
11,5,3,2000,2115,WN,75,DEN,ABQ,349,False
7,19,6,1619,517,UA,478,HNL,ORD,4243,False
12,30,2,1055,1235,OO,100,DEN,SLC,391,False
1,30,3,1759,1859,EV,60,AGS,ATL,143,False
8,30,6,1710,2011,CO,181,MCO,EWR,938,False
2,18,1,815,1145,HA,390,PHX,HNL,2917,False
10,27,1,757,927,UA,90,ORD,OMA,416,False
3,28,5,1555,1755,XE,120,SMF,TUS,752,True
12,23,2,1230,1307,HA,37,HNL,LIH,102,False
6,1,7,1540,1635,WN,115,IAD,MDW,577,True
3,6,4,1610,1808,US,118,CLT,ALB,646,False
2,28,4,2103,2252,YV,169,PHX,MRY,598,False
4,19,6,545,639,CO,54,SAT,IAH,191,False
6,10,2,951,1211,UA,200,ORD,SLC,1249,True
11,12,3,1715,1919,EV,124,GRR,ATL,640,False
1,9,3,1402,1514,US,72,FAT,LAS,258,False
8,12,2,1615,1800,US,105,CLT,PHL,448,False
12,3,3,1945,2055,9E,70,MEM,MOB,317,True
5,15,4,1220,1351,MQ,91,LAX,MRY,267,False
7,24,4,855,1112,UA,257,ORD,LAX,1745,True
2,28,4,2135,2249,CO,74,EWR,PVD,160,True
7,7,1,800,915,WN,75,LAX,OAK,337,False
9,6,6,1445,1818,XE,153,ORD,EWR,719,True
6,2,1,1610,1855,OO,105,ONT,SLC,558,False
6,28,6,1141,1224,NW,103,DTW,MSP,528,True
6,12,4,915,1035,WN,80,MDW,MCI,405,False
2,22,5,1125,1244,9E,79,TUL,MEM,342,True
9,25,4,1815,2105,WN,170,ISP,FLL,1093,False
4,6,7,1345,1550,OO,125,MCI,SAT,706,True
4,8,2,1855,2015,WN,80,BUR,PHX,369,False
11,6,4,650,1055,WN,185,SAT,BWI,1407,False
4,13,7,2300,25,US,85,PHL,BOS,280,False
3,27,4,1214,1415,OO,121,ORD,ICT,588,True
5,13,2,705,926,CO,141,OMA,IAH,781,False
1,10,4,1225,1458,CO,213,DCA,IAH,1208,False
9,28,7,1439,1534,CO,55,IAH,AUS,140,False
12,2,2,2010,2145,UA,95,SFO,SNA,372,False
9,10,3,1000,1237,FL,157,ATL,BOS,946,False
10,16,4,1004,1217,OO,73,DEN,ICT,419,False
9,5,5,1640,1939,NW,119,DEN,MSP,680,False
1,29,2,2120,20,AS,240,PDX,ANC,1542,False
12,25,4,1135,1328,OH,113,DTW,JFK,508,False
7,14,1,1100,1220,MQ,80,CRP,DFW,354,False
11,11,2,935,1024,US,49,CLT,RDU,130,False
3,28,5,1550,1900,B6,190,SWF,FLL,1119,True
4,10,4,1030,1156,US,86,BWI,CLT,361,False
4,11,5,630,758,YV,88,SBA,PHX,455,True
12,10,3,2000,2153,US,113,CLT,LGA,544,False
6,26,4,1310,1806,DL,176,COS,ATL,1185,True
6,30,1,2045,2130,AA,165,DFW,LAS,1055,True
7,7,1,725,750,AA,145,DFW,PHX,868,False
2,15,5,2015,2035,WN,80,PHX,LAX,370,True
2,21,4,1525,1846,UA,141,DEN,ORD,888,False
6,30,1,638,935,UA,357,PHL,SFO,2521,False
2,15,5,2055,2221,OO,146,DEN,FAT,844,False
3,28,5,1025,1325,F9,120,DEN,STL,770,False
11,6,4,900,1111,OH,131,CVG,MCO,756,False
3,1,6,1901,1908,OO,67,AZO,ORD,122,False
4,27,7,1305,1405,MQ,60,FSM,DFW,228,False
9,29,1,820,1658,UA,338,SFO,BOS,2704,True
1,9,3,2110,2233,NW,83,MSP,BIS,386,False
8,31,7,1227,1406,OO,99,ORD,LNK,466,True
8,16,6,1056,1342,UA,106,ORD,IAD,589,False
8,16,6,608,720,OO,72,RAP,DEN,301,False
4,3,4,2115,2120,WN,65,CMH,MDW,284,False
7,5,6,905,1025,OO,80,SGU,SLC,269,False
8,26,2,840,950,WN,70,PHX,SAN,304,False
11,7,5,1524,1652,F9,148,DEN,LAX,862,False
10,14,2,1055,1402,F9,127,DEN,SAT,794,False
3,1,6,1310,2058,AS,288,LAX,DCA,2311,True
7,21,1,910,1240,MQ,150,DFW,GRR,931,False
6,21,6,1215,1309,EV,54,ATL,GSP,153,True
10,31,5,1250,1350,AA,120,DFW,DEN,641,False
4,29,2,1350,1630,9E,100,MEM,CLT,512,False
8,25,1,1745,2026,US,161,PDX,PHX,1009,False
4,15,2,1430,1558,UA,88,BDL,IAD,326,False
1,15,2,1433,1627,F9,174,BNA,DEN,1013,False
7,17,4,1405,1525,WN,80,SFO,LAX,337,True
8,16,6,1745,2018,OO,213,ORD,MSO,1332,False
8,2,6,1015,1448,CO,213,IAH,PHL,1324,False
5,11,7,1350,1425,YV,35,HNL,OGG,100,False
10,26,7,710,1126,CO,196,IAH,PHL,1324,False
8,1,5,800,1005,AA,185,MIA,ORD,1197,True
3,10,1,1900,2120,XE,140,CHS,EWR,628,False
10,16,4,741,1010,EV,89,BTR,ATL,449,True
8,13,3,750,840,EV,110,MCO,HSV,535,False
8,16,6,1905,1925,WN,140,SAT,PHX,843,False
6,14,6,1224,1400,FL,156,MCO,DFW,984,False
8,26,2,1030,1338,XE,128,ABQ,IAH,744,True
11,24,1,914,1037,UA,143,MSP,DEN,680,False
1,24,4,1030,1220,MQ,110,LGA,RDU,431,False
4,17,4,1135,1320,CO,105,CLE,BOS,563,False
4,27,7,2110,2256,FL,106,ATL,MIA,595,True
8,9,6,955,1251,DL,116,ORD,ATL,606,False
9,22,1,2124,2237,NW,73,DTW,IND,231,False
10,8,3,1011,1155,NW,104,DTW,RDU,501,False
8,12,2,1605,1730,MQ,85,MIA,JAX,334,False
3,12,3,1730,1855,WN,85,LAS,RNO,345,False
2,11,1,1510,1825,DL,375,BDL,LAX,2527,False
9,11,4,1714,1937,FL,83,MEM,ATL,332,False
4,2,3,1450,1718,OH,148,LGA,CHS,641,True
10,3,5,615,745,OO,90,DEN,SLC,391,False
7,31,4,900,1158,9E,118,MSP,CLE,622,False
10,29,3,1245,1405,WN,140,JAX,HOU,816,False
3,8,6,2343,557,US,194,LAS,MSP,1300,False
3,28,5,2040,504,B6,324,SJC,BOS,2689,True
2,18,1,1002,1128,US,86,PHX,ABQ,328,False
6,14,6,1430,1540,DL,130,ATL,HOU,696,True
10,2,4,1005,1135,WN,90,SAN,RNO,488,False
5,3,6,1142,1503,UA,141,DEN,ORD,888,True
3,10,1,740,1011,US,151,TPA,PHL,920,False
8,12,2,1935,2120,OO,105,SLC,FCA,532,False
1,18,5,1815,2119,US,244,PHL,DFW,1302,True
5,3,6,1730,1837,OO,67,DEN,DRO,251,False
1,27,7,850,1225,MQ,155,DFW,PIT,1068,False
6,1,7,605,740,9E,95,ICT,MEM,453,False
7,9,3,715,1039,XE,144,IAH,CVG,871,False
8,24,7,1500,1635,9E,155,DTW,SHV,886,False
11,6,4,1310,1447,OH,157,CVG,IAH,871,False
7,24,4,1315,1433,US,78,CLT,JAX,329,False
11,26,3,1315,1519,EV,124,PHF,ATL,508,False
7,18,5,2130,2330,AA,180,MIA,DFW,1121,False
3,21,5,1930,1945,WN,75,ELP,PHX,347,False
11,11,2,910,1100,MQ,50,ORD,GRR,137,False
10,5,7,1440,1612,YV,92,FSD,ORD,462,False
3,27,4,1150,1345,WN,55,STL,SDF,254,False
6,19,4,1140,1245,WN,65,OAK,BUR,325,False
7,2,3,2025,2250,WN,85,STL,DTW,440,True
9,28,7,1010,1211,OH,121,EWR,CVG,569,True
7,9,3,1618,1754,DL,96,TPA,ATL,406,False
2,8,5,1630,2002,XE,152,MKE,EWR,725,False
8,30,6,1635,1826,DL,231,DTW,SLC,1481,True
6,16,1,925,1045,OH,80,RIC,LGA,292,True
7,15,2,1835,2233,XE,178,MCI,EWR,1092,False
11,22,6,1705,1905,DL,120,ATL,BUF,712,False
10,7,2,2139,2233,YV,54,ORD,ATW,160,True
7,22,2,1640,1913,DL,153,ATL,LGA,761,True
7,31,4,945,1227,DL,162,ATL,BOS,946,True
9,22,1,720,900,AA,160,MCO,DFW,984,False
6,30,1,1609,1646,OO,97,TUL,DEN,541,False
11,12,3,1235,1335,WN,60,DAL,SAT,248,False
3,20,4,2050,2155,WN,65,DAL,LBB,293,False
7,3,4,700,1527,B6,327,BUR,JFK,2465,False
9,5,5,815,935,MQ,80,BOS,LGA,185,False
6,26,4,821,1025,OO,64,EKO,SLC,200,False
7,2,3,1735,1900,AA,145,ATL,DFW,732,False
8,4,1,1916,2037,DL,141,ATL,AUS,813,False
11,10,1,730,946,OH,136,PHL,CVG,507,False
11,8,6,700,842,DL,102,TPA,ATL,406,False
2,27,3,2255,2348,XE,53,IAH,LFT,201,False
10,15,3,2040,2140,WN,60,HRL,HOU,276,False
1,6,7,1628,1810,CO,102,TUL,IAH,429,False
10,25,6,1302,1618,UA,136,ORD,PVD,849,False
3,2,7,1320,1528,XE,128,CLT,EWR,529,False
12,11,4,1000,1135,DL,95,ATL,TPA,406,False
12,18,4,1330,1435,9E,65,CAK,DTW,133,True
8,20,3,1244,1451,UA,127,SFO,SEA,679,True
9,10,3,1605,1702,US,57,ILM,CLT,185,True
6,3,2,1055,1145,OO,110,SLC,SBP,608,False
1,19,6,1310,1445,WN,95,SAN,SMF,480,False
12,23,2,930,1145,AA,195,FLL,DFW,1119,False
4,22,2,850,1230,MQ,160,DFW,PIT,1068,False
9,12,5,645,830,WN,165,MCO,MDW,989,False
8,15,5,715,752,HA,37,HNL,LIH,102,False
5,13,2,1820,1854,HA,34,OGG,HNL,100,False
5,28,3,600,720,MQ,80,CRP,DFW,354,True
3,31,1,750,835,WN,45,TPA,PBI,174,False
9,17,3,1210,1715,AA,185,LAX,DFW,1235,False
11,17,1,1855,2005,MQ,70,DFW,LIT,304,True
9,26,5,1537,1735,DL,58,BHM,ATL,134,False
4,22,2,2137,2245,NW,68,DTW,ROC,296,True
9,10,3,1221,1342,OO,81,LAX,SMF,373,False
11,19,3,930,1145,WN,75,MDW,PIT,402,False
12,17,3,2225,2348,OO,83,SFO,MFR,329,False
4,29,2,1505,2315,HA,310,OGG,PDX,2562,True
9,14,7,1910,2030,AA,140,MCO,STL,880,False
6,26,4,1641,1829,FL,108,ATL,PIT,526,True
7,24,4,645,820,US,95,PHL,CLT,448,False
7,31,4,718,1536,UA,318,SJC,IAD,2400,False
3,25,2,1544,1832,NW,168,MCO,DTW,957,True
2,14,4,705,1156,NW,171,GEG,MSP,1175,False
7,15,2,1610,1830,XE,140,SDF,EWR,642,False
6,5,4,1030,1115,MQ,45,ORD,MSN,109,False
4,28,1,1722,2252,UA,210,LAS,ORD,1515,False
10,3,5,1630,1815,MQ,105,RDU,LGA,431,True
11,30,7,1610,1715,EV,125,ATL,TUL,674,True
4,25,5,800,1010,WN,130,MCO,SDF,718,False
2,18,1,700,800,9E,120,CHS,MEM,589,False
6,25,3,840,1110,WN,150,MDW,HOU,937,True
11,11,2,1500,1555,WN,55,HOU,DAL,239,True
9,29,1,1837,2016,OO,99,FSD,ORD,462,True
12,23,2,1649,1845,FL,116,ATL,DTW,594,True
12,9,2,1430,1725,WN,115,LAX,ELP,714,False
5,16,5,1941,2040,UA,119,IAD,ORD,589,False
1,21,1,1455,1600,WN,65,BWI,BDL,283,False
2,26,2,1602,1710,YV,68,EGE,DEN,121,False
8,12,2,1850,2140,WN,170,ALB,MCO,1073,False
11,10,1,1730,2058,B6,208,JFK,FLL,1069,False
10,1,3,1635,2034,XE,179,MSP,EWR,1008,False
2,16,6,600,843,B6,163,FLL,LGA,1076,False
1,31,4,1850,2110,WN,200,STL,SLC,1156,True
8,21,4,645,835,MQ,110,SNA,SFO,372,False
7,16,3,1030,1150,WN,80,SJC,SAN,417,False
1,25,5,1840,2342,XE,182,ONT,MCI,1318,False
1,18,5,640,820,WN,160,PVD,MDW,842,False
7,10,4,1905,2025,WN,80,PHX,LAX,370,True
4,10,4,800,1040,WN,160,MDW,AUS,972,True
12,8,1,630,754,OO,84,MRY,LAX,267,False
1,10,4,1250,1810,WN,200,ABQ,MCO,1552,False
3,25,2,1755,1925,WN,150,HOU,DEN,883,False
7,18,5,1538,1710,OO,92,BNA,MKE,475,False
12,15,1,1530,1810,AS,280,ORD,SEA,1721,True
7,30,3,1005,1155,AA,230,STL,LAX,1593,False
9,30,2,1935,2305,XE,150,IAH,DAY,929,False
8,22,5,1655,1805,MQ,70,TUL,DFW,237,False
6,8,7,1755,2011,OH,136,TPA,CVG,773,True
3,27,4,1505,1705,UA,240,ORD,LAS,1515,False
3,3,1,1910,2000,MQ,50,ORD,CMI,135,True
1,17,4,2050,2220,EV,90,ATL,CHO,457,False
8,17,7,920,1047,FL,87,LGA,PHF,288,False
11,1,6,945,1147,US,122,CLT,PVD,683,False
2,11,1,940,1114,XE,94,MOB,IAH,427,False
1,17,4,1615,1822,9E,127,CAE,DTW,583,False
5,5,1,2005,2055,MQ,50,LAX,SAN,109,True
4,2,3,2056,2228,FL,92,BWI,PWM,452,False
3,3,1,740,900,US,140,CLT,ORD,599,True
8,12,2,740,1235,FL,175,DEN,ATL,1199,False
10,5,7,1834,2012,NW,98,DCA,DTW,405,False
5,13,2,1450,1650,XE,120,EWR,GRR,605,True
9,2,2,840,950,WN,70,LAS,LAX,236,False
7,5,6,2030,2159,US,269,PIT,LAS,1910,False
2,9,6,655,835,AA,100,DFW,BNA,631,False
2,2,6,1845,2109,OO,84,DEN,LNK,423,False
8,1,5,1214,1438,CO,144,EWR,ATL,745,False
10,26,7,1925,2029,NW,64,MSP,MSN,228,False
3,20,4,2131,2231,OO,60,SLC,GJT,217,True
4,2,3,750,900,AA,190,DFW,SNA,1205,False
8,24,7,956,1115,OO,79,MFR,SFO,329,True
1,2,3,1721,1858,NW,97,DTW,BDL,548,False
10,31,5,1220,1339,XE,79,IAH,GPT,376,False
10,6,1,2235,2345,9E,70,MSP,DSM,232,False
12,5,5,650,819,CO,89,RDU,EWR,416,False
11,15,6,630,747,F9,197,DTW,DEN,1123,False
7,31,4,1725,1755,WN,90,DTW,BNA,457,True
7,28,1,1305,1258,DL,53,ATL,HSV,151,False
1,31,4,1906,2155,EV,169,EWR,ATL,745,False
4,21,1,820,1222,CO,242,BQN,EWR,1585,False
9,21,7,2110,2150,MQ,40,ORD,MKE,67,False
3,4,2,1825,2050,WN,145,SEA,LAS,866,False
8,31,7,1315,1705,AA,170,ABQ,ORD,1118,False
8,26,2,600,851,OO,111,LAX,ABQ,677,False
12,23,2,1155,1412,9E,137,CHS,DTW,668,True
3,15,6,1220,1530,XE,130,IAH,TPA,787,False
9,17,3,625,955,F9,150,SJC,DEN,948,False
1,14,1,1220,1506,CO,286,IAH,SEA,1874,False
6,15,7,1935,2159,FL,264,MKE,SFO,1845,True
8,3,7,845,920,WN,95,TPA,MSY,487,False
4,1,2,1100,1155,OO,115,BWI,MKE,641,True
7,27,7,615,805,AA,170,MIA,DFW,1121,False
10,12,7,836,1012,DL,156,ATL,SAT,874,False
6,13,5,1158,1358,XE,120,AVL,EWR,583,False
12,12,5,900,1113,OH,133,BOS,RDU,612,False
2,16,6,1004,1118,XE,74,IAH,MOB,427,False
7,16,3,630,920,B6,170,JFK,FLL,1069,False
5,21,3,915,950,DL,95,ATL,MSY,425,False
5,1,4,1330,1643,CO,193,MIA,EWR,1086,False
11,4,2,1957,2118,F9,81,SLC,DEN,391,False
2,15,5,1930,2057,9E,87,MEM,PFN,417,True
3,1,6,1410,1641,AS,151,SAN,PDX,933,False
12,2,2,704,750,OO,46,SMF,SFO,86,False
4,23,3,1357,1642,US,165,PHX,PDX,1009,False
8,24,7,1815,1925,MQ,70,TUL,DFW,237,False
12,3,3,1130,1235,AA,125,DFW,DEN,641,False
4,23,3,1723,1857,NW,94,DTW,BWI,408,False
8,27,3,1017,1147,UA,90,SFO,LAX,337,False
6,23,1,1110,1213,EV,63,CAE,ATL,191,False
5,5,1,1220,1345,MQ,85,SGF,DFW,364,True
9,9,2,1445,1555,9E,70,MEM,EVV,247,False
5,3,6,1457,1545,MQ,48,SAN,LAX,109,False
9,18,4,1645,2019,XE,154,STL,EWR,872,False
8,27,3,941,1245,XE,124,MKE,EWR,725,True
3,11,2,1915,2100,WN,225,HOU,LAX,1390,False
3,8,6,1645,1745,AA,60,TPA,MIA,204,False
6,30,1,2130,8,FL,158,ATL,BOS,946,True
11,28,5,620,756,9E,96,OKC,MEM,432,False
12,6,6,1955,2132,US,97,CLT,TPA,508,True
1,8,2,1540,1640,WN,60,FLL,TPA,197,False
9,9,2,858,930,9E,92,DTW,MLI,373,False
6,6,5,1512,1606,FL,114,ATL,MDW,590,False
5,29,4,1306,1638,NW,152,MSP,BWI,936,False
9,27,6,1440,2155,WN,255,PHX,BWI,1999,False
7,16,3,1605,1945,UA,160,ORD,TPA,1012,False
6,12,4,1520,1649,US,89,PIT,CLT,366,False
8,29,5,1110,1200,WN,50,BWI,ORF,159,False
9,2,2,1625,1820,MQ,115,RDU,BOS,612,False
10,23,4,1300,1538,OO,98,PSP,SLC,541,False
4,18,5,1455,1628,DL,93,ATL,DAY,432,False
1,14,1,1345,1555,WN,70,MDW,CLE,307,False
8,9,6,930,1101,YV,91,LGA,IAD,229,False
12,21,7,1735,1935,AA,180,DFW,SLC,988,True
3,9,7,1625,1917,CO,172,EWR,MCO,938,True
1,12,6,1059,1153,OO,54,LAX,PSP,110,False
11,4,2,1520,1640,9E,140,DTW,LIT,705,False
4,7,1,1525,1750,EV,145,AVP,ATL,714,False
9,28,7,1915,2105,US,110,RSW,CLT,600,False
8,22,5,1301,2056,UA,295,SAN,IAD,2253,False
3,23,7,1605,1715,WN,130,BWI,STL,737,True
6,6,5,1730,1854,DL,84,LGA,BOS,185,False
3,6,4,1315,1603,YV,168,ORD,AUS,978,True
6,18,3,950,1115,MQ,85,DCA,BOS,399,False
1,11,5,1305,1503,EV,118,ATL,DTW,594,False
11,14,5,930,1223,US,113,ORD,CLT,599,True
9,10,3,1115,1220,WN,65,FLL,MCO,178,True
12,2,2,1400,1610,NW,130,MEM,MSP,700,False
4,20,7,2110,15,B6,365,JFK,LAS,2248,True
8,16,6,1308,1435,OO,87,MRY,LAX,267,False
8,18,1,1335,1800,WN,205,SAT,BWI,1407,False
11,6,4,1539,1633,9E,114,DTW,HSV,554,False
12,28,7,1047,1227,OO,100,ABQ,SLC,493,False
6,13,5,935,1525,AA,230,SEA,DFW,1660,False
1,7,1,1730,1855,WN,85,SNA,OAK,371,False
1,21,1,1805,2140,B6,395,JFK,LGB,2465,True
5,6,2,1545,1806,US,141,MCO,PIT,834,False
8,27,3,1215,1330,WN,75,SNA,OAK,371,False
2,2,6,1545,1700,AA,195,DFW,SNA,1205,True
1,29,2,1600,1823,FL,143,EWR,ATL,745,False
1,15,2,1745,1945,WN,180,BNA,DEN,1013,False
6,21,6,950,1210,WN,80,DEN,AMA,358,False
11,7,5,1228,1759,US,211,LAS,ORD,1515,False
8,15,5,1739,1912,OO,153,DEN,BUR,850,False
12,2,2,938,1111,OO,93,BNA,MKE,475,False
2,22,5,1755,1910,MQ,75,DFW,ICT,328,False
8,27,3,1745,1915,XE,90,MSY,AUS,445,False
11,29,6,830,1120,WN,110,BHM,BWI,682,False
3,26,3,2130,2259,DL,89,ATL,MCO,403,False
6,24,2,1715,1852,XE,97,EWR,IAD,213,True
10,26,7,700,828,NW,88,DTW,DCA,405,False
3,2,7,800,947,FL,107,PBI,ATL,545,False
8,21,4,1651,1755,OO,64,SBP,LAX,155,False
9,23,2,1227,1239,NW,72,DTW,MKE,238,False
1,23,3,1740,1903,UA,143,STL,DEN,770,False
8,13,3,1654,1842,FL,108,PIT,ATL,526,False
5,25,7,925,1050,WN,85,MDW,OMA,423,False
1,6,7,925,1055,WN,90,HOU,BHM,570,False
11,12,3,754,919,UA,145,PHL,ORD,678,False
9,19,5,2145,2251,NW,186,MSP,GEG,1175,True
7,19,6,849,933,UA,104,DSM,DEN,589,True
5,26,1,1740,2100,WN,140,DEN,MDW,895,False
8,26,2,1030,1245,9E,135,IND,LGA,659,False
2,10,7,826,1009,DL,103,ATL,BWI,576,False
9,27,6,700,1034,YV,154,AUS,CLT,1033,False
7,2,3,1325,1414,EV,109,CVG,OMA,614,False
11,11,2,1155,1340,AA,165,LGA,ORD,733,False
10,11,6,1025,1035,AA,70,DTW,ORD,235,False
1,7,1,1510,1704,OH,114,CVG,MHT,741,False
9,9,2,740,1000,WN,80,ELP,SAT,496,False
8,18,1,1725,1958,EV,93,PNS,MCO,380,True
12,30,2,1830,1935,WN,65,DAL,LBB,293,False
4,27,7,835,944,UA,129,SLC,SFO,599,False
1,25,5,1205,1350,MQ,105,BOS,DCA,399,False
5,17,6,1835,1950,9E,75,CID,MSP,221,False
7,1,2,1755,2025,EV,90,PNS,MCO,380,False
5,30,5,625,715,WN,50,ELP,ABQ,223,False
3,14,5,1525,1559,YV,154,ICT,PHX,870,False
7,17,4,1941,2114,OH,93,RDU,ATL,356,True
